Va !	Ir !
J'en fais usage.	Eu uso-o.
Je m'en sers.	Eu estou usando isso.
Je paierai.	Eu vou pagar.
Je paie.	Eu pago.
Je vais essayer.	Vou tentar.
J'essaierai.	Vou tentar.
Je suis revenu.	Eu voltei.
Me revoilà.	Estou de volta.
Je suis chauve.	Eu sou careca.
Je suis occupé.	Estou ocupado.
Je suis occupée.	Estou ocupado.
Je suis calme.	Estou calma.
J'ai froid.	Estou com frio.
Je suis détendu.	Eu estou relaxado.
Je suis détendue.	Eu estou relaxado.
Je suis sourd.	Eu sou surdo.
Je suis sourde.	Eu sou surdo.
J'en ai fini.	Para mim chega.
Je suis juste.	Eu sou justo.
J'ai la peau claire.	Eu tenho pele clara.
J'ai le teint clair.	Eu tenho a pele clara.
Je suis rapide.	Eu sou rápido.
Tout va bien.	Tudo está bem.
Je vais bien.	Estou bem.
Ça va.	Como você está.
Je suis libre !	Eu estou livre !
Je suis libre.	Eu estou livre.
Je suis disponible.	Eu estou disponível.
Je suis repu !	Eu sou saciado!
Je suis rassasié !	Eu sou saciada!
J'en suis.	Estou dentro.
Je suis de la partie.	Estou dentro.
Je suis content.	Eu estou feliz.
Je suis chez moi.	Eu estou em casa.
Je suis en retard.	Estou atrasado.
Je suis paresseux.	Sou preguiçosa.
Je suis fainéant.	Eu sou preguiçoso.
Je suis paresseuse.	Sou preguiçosa.
Je suis fainéante.	Eu sou preguiçoso.
Je suis paumé.	Eu estou perdido.
Je suis perdue.	Estou perdido.
Je vais bien.	Estou bem.
Je me porte bien.	Estou bem.
Je suis riche.	Eu sou rico.
Je suis en sécurité.	Eu estou seguro.
Je suis malade.	Estou doente.
J'en suis certain.	Tenho certeza.
Je suis certain.	Tenho certeza.
J'en suis sûr.	Tenho certeza.
J'en suis sûre.	Tenho certeza.
Je suis grande.	Eu sou alto.
Je suis mince.	Eu sou magro.
Je suis ordonné.	Eu sou ordenado.
Je suis ordonnée.	Eu sou encomendado.
Je suis laid.	Eu sou feio.
Je suis laide.	Eu sou feio.
Je suis faible.	Eu sou fraco.
Je vais bien.	Estou bem.
Je me porte bien.	Estou bem.
J'ai gagné.	Eu venci.
Je l'ai emporté.	Eu ganhei.
Ça aide.	Isso ajuda.
Ça fait mal.	Isso dói.
Elle marche.	Ela caminha.
Ça fonctionne.	Funciona.
C'est Tom.	É Tom.
C'est marrant.	É engraçado.
C'est rigolo.	É engraçado.
C'est le sien.	Isso é dele.
C'est la sienne.	É dele.
C'est nouveau.	É novo.
C'est neuf.	É novo.
C'est bizarre.	É estranho.
Il est rouge.	É vermelho.
C’est triste.	É triste.
Défense d'entrer.	Nenhuma admissão.
N'entrez pas.	Não entre.
Tuez Tom.	Mate Tom.
Tue Tom.	Mate Tom.
Embrasse Tom.	Abraçar Tom.
Laisse tomber !	Deixa para lá !
Laissez tomber !	Derrubar !
Laisse !	Coleira !
Laissez ça.	Deixe isso.
Laisse ça.	Deixe isso.
Laissez-moi !	Deixe-me!
Laisse-nous !	Vamos sair!
Laissez-nous !	Deixe-nos!
Allons-y !	Vamos lá!
Allons-y !	Vamos lá!
Attention !	Aviso !
Faites attention !	Prestar atenção !
Fais attention !	Tome cuidado !
Soyez prudente !	Tome cuidado !
Fais gaffe !	Atenção !
Faites gaffe !	Goffe!
Fais attention !	Tome cuidado !
Regarde donc !	Então olhe!
Faites attention.	Prestar atenção.
Fais attention.	Tome cuidado.
Épouse-moi !	Case comigo !
Épousez-moi !	Case comigo !
Puis-je partir ?	Posso ir ?
Puis-je y aller ?	Posso ir lá?
Puis-je m'y rendre ?	Posso ir lá?
Arrêtez-vous maintenant !	Pare agora!
Arrête-toi maintenant !	Pare agora!
Fuyez.	Fugir.
Fuis.	Fugir.
Enfuyez-vous.	Esforçar-se.
Enfuis-toi.	Falso você mesmo.
Sauve Tom.	Sud Tom.
Sauvez Tom.	Salve Tom.
De quoi ?	Suficiente para ?
Elle est venue.	Ela chegou.
Elle est morte.	Ela está morta.
Elle est partie.	Ela se foi.
Elle court.	Ela corre.
Assieds-toi !	Sentar-se !
Asseyez-vous !	Sente-se como você!
Asseyez-vous.	Sentar-se.
Assieds-toi.	Sentar-se.
Asseyez-vous.	Sentar-se.
Assieds-toi ici.	Sente-se aqui.
Asseyez-vous ici.	Sente-se aqui.
Parle plus fort !	Fale alto !
Parlez plus fort !	Fale alto !
Accélère.	Acelerado.
Accélérez.	Veloz.
Lève-toi.	Levante-se.
Arrête Tom.	Pare de Tom.
Stoppez Tom.	Pare de Tom.
Prends Tom.	Tome Tom.
Goûte-le.	Gosto.
Goûte-la.	Gosto.
Goûtez-le.	Experimente isso.
Goûtez-la.	Experimente isso.
Dis-le à Tom.	Diga Tom.
Informez-en Tom.	Informar Tom.
Fantastique !	Fantástico!
Génial !	Incrível !
Super !	Excelente !
Au poil !	Hunky-Dory!
Impeccable !	IMPECÁVEL!
Nickel !	Níquel!
Excellent !	Excelente!
Magnifique !	Maravilhoso !
Nickel chrome !	Nickel Chrome!
Bien.	Nós vamos.
Formidable !	Excelente!
C'est génial !	É incrivel !
À la bonne heure !	Tudo em bom tempo !
C'est super.	Isso é ótimo.
Super !	Excelente !
Génial!	Incrível!
Sensass !	Sensato!
Ils gagnèrent.	Eles ganharam.
Elles gagnèrent.	Eles ganharam.
Ils ont gagné.	Eles ganharam.
Elles ont gagné.	Eles ganharam.
Tom est venu.	Tom veio.
Tom est mort.	Tom está morto.
Tom savait.	Tom sabia.
Tom est parti.	Tom se foi.
Tom partit.	Tom saiu.
Tom a menti.	Tom mentiu.
Tom ment.	Tom de Tom.
Tom a perdu.	Tom perdido.
Tom a payé.	Tom pagou.
Tom payait.	Tom pagou.
Tom est parti.	Tom se foi.
Tom est debout.	Tom está de pé.
Trop tard.	Muito tarde.
Touchez-le.	Toque isso.
Touchez-la.	Toque isso.
Touche-le.	Toque isso.
Touche-la.	Toque isso.
Faites-moi confiance.	Confie em mim.
Fais-moi confiance.	Confie em mim.
Essaies-en !	Tentando!
Essayez-en !	Tente!
Essaie.	Tentativas.
Essaie ceci !	Tente isso!
Essayez ceci !	Tente isso!
Essaye ceci.	Tente isso.
Utilise ceci.	Usa isto.
Utilisez ceci.	Usa isto.
Emploie ceci !	Usa isto!
Employez ceci !	Usa isto!
Avertis Tom.	Avisou Tom.
Préviens Tom.	Adverte Tom.
Regarde-moi !	Olhe para mim !
Regardez-moi !	Olhe para mim !
Regardez-nous !	Assista-nos!
Regarde-nous !	Olhe para nós !
Nous sommes d'accord.	Nós concordamos.
Nous irons.	Nós iremos.
Nous allons bien.	Estamos bem.
Pour quoi faire ?	Para fazer o que ?
À quoi bon ?	Qual é o ponto?
Qu'est-ce qu'on s'est marrés !	O que nos cansamos!
Qu'est-ce qu'on s'est marrées !	O que foram ponderados!
Qui est venu ?	Quem veio ?
Qui est mort ?	Quem está morto ?
Qui est tombé ?	Quem caiu?
Qui a perdu ?	Quem perdeu ?
Qui démissionne ?	Quem renuncia?
Qui est-il ?	Quem é ele ?
Écris-moi !	Me escreva !
Écrivez-moi !	Me escreva!
Tu as perdu.	Você perdeu.
Vous avez perdu.	Você perdeu.
T’as perdu.	Você perdeu.
Je vous en prie.	De nada.
Après vous.	Depois de você.
En joue ! Feu !	Jogando! Incêndio !
Suis-je en retard ?	Eu estou atrasado?
Répondez-moi.	Me responda.
Sois honnête.	Seja honesto.
Soyez honnêtes.	Seja honesto.
Soyez honnête.	Seja honesto.
Assieds-toi !	Sentar-se !
Asseyez-vous !	Sente-se como você!
Asseyez-vous.	Sentar-se.
Les oiseaux volent.	Os pássaros voam.
À tes souhaits !	Saúde !
Appelle à la maison !	Ligue para casa!
Calmez-vous !	Acalmar !
Du calme.	Calma.
Tranquille.	Calma.
Calme-toi.	Acalmar.
Du calme.	Calma.
Tranquille.	Calma.
Pouvons-nous partir ?	Podemos sair?
Pouvons-nous nous en aller ?	Podemos ir?
Pouvons-nous y aller ?	Podemos ir lá?
Attrape Tom.	Pegar tom.
Attrapez Tom.	Pegar tom.
Attrape-le !	Pegue isso !
Rattrape-le.	Pega isso.
Calme-toi.	Acalmar.
Tranquille.	Calma.
Choisis-moi !	Me escolha !
Reviens !	Volte !
Revenez !	Retornar!
Viens ici.	Venha aqui.
Venez là.	Vai lá.
Viens !	Vir !
Venez !	Vir !
Venez ici !	Venha aqui !
Viens chez nous !	Venha em nossa casa!
Venez chez nous !	Venha para a nossa casa!
Viens chez moi !	Venha em casa!
Venez chez moi !	Venha para casa!
Viens bientôt !	Em breve!
Venez bientôt !	Em breve!
Calmez-vous !	Acalmar !
Ai-je gagné ?	Eu ganhei?
L'ai-je emporté ?	Eu me levantei?
Est-ce moi qui ai gagné ?	Eu quem ganhou?
Faites-le maintenant.	Faça isso agora.
Des chiens aboient.	Latido do cachorro.
Les chiens aboient.	Latido do cachorro.
Ne demande pas !	Não pergunte!
Ne pleure pas !	Não chore !
Ne meurs pas !	Não morra !
Ne mourez pas !	Não morra!
Ne mens pas.	Não minta.
Ne mens pas !	Não minta !
Ne courez pas.	Não corra.
Ne cours pas.	Não corra.
Excuse-moi.	Com licença.
Excusez-moi.	Com licença.
Pardon ?	Desculpa ?
Je vous demande pardon ?	Eu imploro seu perdão ?
Plaît-il ?	Prazer ?
Plait-il ?	Prazer ?
Pardon ?	Desculpa ?
Fantastique !	Fantástico!
